country,year,pop,continent,lifeExp,gdpPercap,mortality,fertility
Afghanistan,1952,8425333.000,Asia,28.801,779.445,,7.671
Afghanistan,1957,9240934.000,Asia,30.332,820.853,,7.671
Afghanistan,1962,10267083.000,Asia,31.997,853.101,236.300,7.671
Afghanistan,1967,11537966.000,Asia,34.020,836.197,217.000,7.671
Afghanistan,1972,13079460.000,Asia,36.088,739.981,198.200,7.671
Afghanistan,1977,14880372.000,Asia,38.438,786.113,178.700,7.670
Afghanistan,1982,12881816.000,Asia,39.854,978.011,157.500,7.671
Afghanistan,1987,13867957.000,Asia,40.822,852.396,135.700,7.682
Afghanistan,1992,16317921.000,Asia,41.674,649.341,114.400,7.725
Afghanistan,1997,22227415.000,Asia,41.763,635.341,100.700,7.869
Afghanistan,2002,25268405.000,Asia,42.129,726.734,91.200,7.484
Afghanistan,2007,31889923.000,Asia,43.828,974.580,80.400,6.456
Albania,1952,1282697.000,Europe,55.230,1601.056,,6.071
Albania,1957,1476505.000,Europe,59.280,1942.284,,6.389
Albania,1962,1728137.000,Europe,64.820,2312.889,106.500,5.956
Albania,1967,1984060.000,Europe,66.220,2760.197,86.800,5.376
Albania,1972,2263554.000,Europe,67.690,3313.422,71.000,4.809
Albania,1977,2509048.000,Europe,68.930,3533.004,58.600,4.094
Albania,1982,2780097.000,Europe,70.420,3630.881,56.100,3.460
Albania,1987,3075321.000,Europe,72.000,3738.933,40.800,3.126
Albania,1992,3326498.000,Europe,71.581,2497.438,32.500,2.867
Albania,1997,3428038.000,Europe,72.950,3193.055,26.800,2.611
Albania,2002,3508512.000,Europe,75.651,4604.212,21.000,2.195
Albania,2007,3600523.000,Europe,76.423,5937.030,16.700,1.796
Algeria,1952,9279525.000,Africa,43.077,2449.008,,7.648
Algeria,1957,10270856.000,Africa,45.685,3013.976,149.000,7.648
Algeria,1962,11000948.000,Africa,48.303,2550.817,148.200,7.650
Algeria,1967,12760499.000,Africa,51.407,3246.992,149.200,7.658
Algeria,1972,14760787.000,Africa,54.518,4182.664,140.600,7.591
Algeria,1977,17152804.000,Africa,58.014,4910.417,119.000,7.244
Algeria,1982,20033753.000,Africa,61.368,5745.160,84.600,6.576
Algeria,1987,23254956.000,Africa,65.799,5681.359,46.300,5.508
Algeria,1992,26298373.000,Africa,67.744,5023.217,38.100,4.238
Algeria,1997,29072015.000,Africa,69.152,4797.295,35.100,2.987
Algeria,2002,31287142.000,Africa,70.994,5288.040,32.400,2.407
Algeria,2007,33333216.000,Africa,72.301,6223.367,26.400,2.656
Angola,1952,4232095.000,Africa,30.015,3520.610,,6.980
Angola,1957,4561361.000,Africa,31.999,3827.940,,7.187
Angola,1962,4826015.000,Africa,34.000,4269.277,,7.385
Angola,1967,5247469.000,Africa,35.985,5522.776,,7.403
Angola,1972,5894858.000,Africa,37.928,5473.288,,7.232
Angola,1977,6162675.000,Africa,39.483,3008.647,,7.189
Angola,1982,7016384.000,Africa,39.942,2756.954,136.800,7.203
Angola,1987,7874230.000,Africa,39.906,2430.208,134.100,7.202
Angola,1992,8735988.000,Africa,40.647,2627.846,133.500,7.116
Angola,1997,9875024.000,Africa,40.963,2277.141,131.500,6.949
Angola,2002,10866106.000,Africa,41.003,2773.287,125.500,6.778
Angola,2007,12420476.000,Africa,42.731,4797.231,117.100,6.523
Argentina,1952,17876956.000,Americas,62.485,5911.315,65.000,3.157
Argentina,1957,19610538.000,Americas,64.399,6856.856,68.000,3.130
